SeqIDs
GCA_000013085.1
GCA_000015585.1
GCA_000016825.1
GCA_000019965.1
GCA_000067205.1
GCA_000144405.1
GCA_000152145.1
GCA_000159995.1
GCA_000160535.1
GCA_000160855.1
GCA_000162475.2
GCA_000163695.1
GCA_000174775.1
GCA_000177375.1
GCA_000177535.2
GCA_000183135.1
GCA_000186225.1
GCA_000187995.3
GCA_000188015.3
GCA_000190575.1
GCA_000191065.1
GCA_000191885.2
GCA_000211415.1
GCA_000212375.1
GCA_000212915.1
GCA_000215935.3
GCA_000215955.3
GCA_000218235.1
GCA_000222855.1
GCA_000223985.2
GCA_000224005.3
GCA_000224065.2
GCA_000227725.2
GCA_000227745.3
GCA_000250735.2
GCA_000269605.1
GCA_000269805.1
GCA_000284415.2
GCA_000294655.1
GCA_000295095.1
GCA_000296465.1
GCA_000306965.1
GCA_000307165.1
GCA_000307855.1
GCA_000312445.1
GCA_000313565.2
GCA_000327045.1
GCA_000372085.1
GCA_000372385.1
GCA_000373185.1
GCA_000374105.1
GCA_000375645.1
GCA_000377625.1
GCA_000378405.1
GCA_000378965.1
GCA_000379925.1
GCA_000382385.1
GCA_000384195.1
GCA_000421165.1
GCA_000421705.1
GCA_000423265.1
GCA_000423445.1
GCA_000423485.1
GCA_000423785.1
GCA_000426585.1
GCA_000429225.1
GCA_000429265.1
GCA_000429485.1
GCA_000473145.1
GCA_000473305.1
GCA_000482845.1
GCA_000510645.1
GCA_000513195.1
GCA_000515255.1
GCA_000517065.1
GCA_000518545.1
GCA_000518725.1
GCA_000565015.1
GCA_000585355.1
GCA_000613725.1
GCA_000613945.1
GCA_000614025.1
GCA_000614065.1
GCA_000614125.1
GCA_000614205.1
GCA_000614975.1
GCA_000615445.1
GCA_000621725.1
GCA_000701525.1
GCA_000702725.1
GCA_000711985.1
GCA_000723505.1
GCA_000737845.1
GCA_000738005.1
GCA_000741255.1
GCA_000741575.1
GCA_000741645.1
GCA_000741695.1
GCA_000741715.1
GCA_000741775.1
GCA_000767835.1
GCA_000771405.1
GCA_000815225.1
GCA_000828635.1
GCA_000876205.1
GCA_000961645.1
GCA_000961745.1
GCA_000961845.1
GCA_000967195.1
GCA_000970755.1
GCA_000970795.1
GCA_000970855.1
GCA_000975035.1
GCA_000975055.1
GCA_001025155.1
GCA_001025215.1
GCA_001039475.1
GCA_001050195.2
GCA_001050235.2
GCA_001050275.1
GCA_001054945.1
GCA_001192795.1
GCA_001192835.1
GCA_001263395.1
GCA_001270045.2
GCA_001275135.1
GCA_001281175.1
GCA_001303245.1
GCA_001303415.1
GCA_001303445.1
GCA_001303585.1
GCA_001304215.1
GCA_001304425.1
GCA_001306035.1
GCA_001306115.1
GCA_001417815.1
GCA_001434335.1
GCA_001435235.1
GCA_001435375.1
GCA_001435585.1
GCA_001435775.1
GCA_001435815.1
GCA_001435935.1
GCA_001436455.1
GCA_001436775.1
GCA_001437125.1
GCA_001437435.1
GCA_001443605.1
GCA_001512865.1
GCA_001512885.1
GCA_001512985.1
GCA_001513025.1
GCA_001513285.1
GCA_001513435.1
GCA_001515985.1
GCA_001516065.1
GCA_001516125.1
GCA_001544495.2
GCA_001544515.2
GCA_001545095.1
GCA_001553005.1
GCA_001578775.1
GCA_001643015.1
GCA_001657575.1
GCA_001663175.1
GCA_001708405.1
GCA_001730225.1
GCA_001730235.1
GCA_001742305.1
GCA_001865995.1
GCA_001866005.1
GCA_001945525.1
GCA_001945605.1
GCA_001953955.1
GCA_001995255.1
GCA_001996005.1
GCA_002017865.1
GCA_002085925.2
GCA_002127965.1
GCA_002207865.1
GCA_002221595.1
GCA_002259585.1
GCA_002259595.1
GCA_002259605.1
GCA_002259795.1
GCA_002286915.1
GCA_002286935.1
GCA_002290085.1
GCA_002356555.2
GCA_002706375.1
GCA_002797875.1
GCA_002803985.1
GCA_002804005.1
GCA_002804025.1
GCA_002804105.1
GCA_002804245.1
GCA_002843565.1
GCA_002848005.1
GCA_002860345.1
GCA_002860355.1
GCA_002860365.1
GCA_002860405.1
GCA_002902085.1
GCA_002930155.1
GCA_002933295.1
GCA_002937075.1
GCA_002958735.1
GCA_002998435.1
GCA_003047105.1
GCA_003053725.1
GCA_003096695.1
GCA_003096815.1
GCA_003129905.1
GCA_003217325.1
GCA_003217355.1
GCA_003241785.1
GCA_003254275.1
GCA_003258835.1
GCA_003325455.1
GCA_003522965.1
GCA_003534205.1
GCA_003609995.1
GCA_003610735.1
GCA_003633725.1
GCA_003634315.1
GCA_003751635.1
GCA_003859805.1
GCA_003944755.1
GCA_003957255.1
GCA_003966975.1
GCA_003967195.1
GCA_004104015.1
GCA_004339675.1
GCA_004341375.1
GCA_004341945.1
GCA_004342175.1
GCA_004342885.1
GCA_004343035.1
GCA_004343075.1
GCA_004343505.1
GCA_004345615.1
GCA_004365815.1
GCA_004366635.1
GCA_006539285.1
GCA_006715765.1
GCA_007567505.1
GCA_007625115.1
GCA_008630065.1
GCA_008632335.1
GCA_009299485.1
GCA_009469695.1
GCA_009664085.1
GCA_009684715.1
GCA_009695655.1
GCA_009695935.1
GCA_009720755.1
GCA_009764355.1
GCA_009767585.1
GCA_010748935.1
GCA_010820565.1
GCA_010915725.1
GCA_011065405.1
GCA_011762045.1
GCA_011927845.1
GCA_012276755.1
GCA_012910705.1
GCA_012910805.1
GCA_013408655.1
GCA_013409575.1
GCA_014192515.1
GCA_014195585.1
GCA_014196225.1
GCA_014203155.1
GCA_014208035.1
GCA_900094885.1
GCA_900095795.1
GCA_900096565.1
GCA_900099695.1
GCA_900099735.1
GCA_900099935.1
GCA_900100455.1
GCA_900101965.1
GCA_900102365.1
GCA_900102855.1
GCA_900105015.1
GCA_900106055.1
GCA_900106925.1
GCA_900107145.1
GCA_900107605.1
GCA_900107635.1
GCA_900108035.1
GCA_900108475.1
GCA_900109495.1
GCA_900110435.1
GCA_900111795.1
GCA_900112795.1
GCA_900114895.1
GCA_900115065.1
GCA_900115655.1
GCA_900128905.1
GCA_900128985.1
GCA_900130125.1
GCA_900142525.1
GCA_900156655.1
GCA_900167105.1
GCA_900167335.1
GCA_900168165.1
GCA_900186975.1
GCA_900187995.1
GCA_900230255.1
GCA_900444995.1
GCA_900454835.1
GCA_900637165.1
GCA_900637655.1
GCA_901543175.1
