Taxon,Divergence
 GCA_000025945.1,Bdellovibrionota+Myxococcota
 GCA_003751385.1,Bdellovibrionota+Myxococcota
 GCA_000686525.1,Bdellovibrionota+Myxococcota
 GCA_000420085.1,Bdellovibrionota+Myxococcota
 GCA_000621145.1,Bdellovibrionota+Myxococcota
 GCA_001514535.1,Bdellovibrionota+Myxococcota
 GCA_000423845.1,Bdellovibrionota+Myxococcota
 GCA_002482565.1,Bdellovibrionota+Myxococcota
 GCA_000014965.1,Bdellovibrionota+Myxococcota
 GCA_000013405.1,Bdellovibrionota+Myxococcota
 GCA_000179315.1,Bdellovibrionota+Myxococcota
 GCA_000022265.1,Bdellovibrionota+Myxococcota
 GCA_000961725.1,Bdellovibrionota+Myxococcota
 GCA_000827125.1,Bdellovibrionota+Myxococcota
 GCA_900101955.1,Bdellovibrionota+Myxococcota
 GCA_000422285.1,Bdellovibrionota+Myxococcota
 GCA_900104445.1,Bdellovibrionota+Myxococcota
 GCA_014202345.1,Bdellovibrionota+Myxococcota
 GCA_900101345.1,Bdellovibrionota+Myxococcota
 GCA_000350545.1,Bdellovibrionota+Myxococcota
 GCA_000331025.1,Bdellovibrionota+Myxococcota
 GCA_000143965.1,Bdellovibrionota+Myxococcota
 GCA_014218275.1,Bdellovibrionota+Myxococcota
 GCA_000341895.1,Bdellovibrionota+Myxococcota
 GCA_000717475.2,Bdellovibrionota+Myxococcota
 GCA_000307105.1,Bdellovibrionota+Myxococcota
 GCA_000020985.1,Bdellovibrionota+Myxococcota
 GCA_001311985.1,Bdellovibrionota+Myxococcota
 GCA_000020725.1,Bdellovibrionota+Myxococcota
 GCA_000384395.1,Bdellovibrionota+Myxococcota
 GCA_000430005.1,Bdellovibrionota+Myxococcota
 GCA_000428825.1,Bdellovibrionota+Myxococcota
 GCA_000015045.1,Bdellovibrionota+Myxococcota
 GCA_000429965.1,Bdellovibrionota+Myxococcota
 GCA_900142135.1,Bdellovibrionota+Myxococcota
 GCA_000746255.1,Bdellovibrionota+Myxococcota
 GCA_000174435.1,Bdellovibrionota+Myxococcota
 GCA_001278055.1,Bdellovibrionota+Myxococcota
 GCA_000375485.1,Bdellovibrionota+Myxococcota
 GCA_000422245.1,Bdellovibrionota+Myxococcota
 GCA_001303025.1,Bdellovibrionota+Myxococcota
 GCA_001304105.1,Bdellovibrionota+Myxococcota
 GCA_001311565.1,Bdellovibrionota+Myxococcota
 GCA_900129975.1,Bdellovibrionota+Myxococcota
 GCA_001672295.1,Bdellovibrionota+Myxococcota
 GCA_009856865.1,Bdellovibrionota+Myxococcota
 GCA_000934745.1,Bdellovibrionota+Myxococcota
 GCA_003252055.1,Bdellovibrionota+Myxococcota
 GCA_900107645.1,Bdellovibrionota+Myxococcota
 GCA_000421605.1,Bdellovibrionota+Myxococcota
 GCA_000482745.1,Bdellovibrionota+Myxococcota
 GCA_007830435.1,Bdellovibrionota+Myxococcota
 GCA_000931935.2,Bdellovibrionota+Myxococcota
 GCA_000734015.1,Bdellovibrionota+Myxococcota
 GCA_001888165.1,Bdellovibrionota+Myxococcota
 GCA_900111775.1,Bdellovibrionota+Myxococcota
 GCA_000429325.1,Bdellovibrionota+Myxococcota
 GCA_900102485.1,Bdellovibrionota+Myxococcota
 GCA_001311845.1,Bdellovibrionota+Myxococcota
 GCA_007625075.1,Bdellovibrionota+Myxococcota
 GCA_900142125.1,Bdellovibrionota+Myxococcota
 GCA_900217235.1,Bdellovibrionota+Myxococcota
 GCA_000934755.1,Bdellovibrionota+Myxococcota
 GCA_001874525.1,Bdellovibrionota+Myxococcota
 GCA_001548275.1,Bdellovibrionota+Myxococcota
 GCA_013376455.1,Bdellovibrionota+Myxococcota
 GCA_000421285.1,Bdellovibrionota+Myxococcota
 GCA_900114975.1,Bdellovibrionota+Myxococcota
 GCA_900104215.1,Bdellovibrionota+Myxococcota
 GCA_900143255.1,Bdellovibrionota+Myxococcota
 GCA_000186885.1,Bdellovibrionota+Myxococcota
 GCA_900114115.1,Bdellovibrionota+Myxococcota
 GCA_001748225.1,Bdellovibrionota+Myxococcota
 GCA_001184205.1,Bdellovibrionota+Myxococcota
 GCA_001311825.1,Bdellovibrionota+Myxococcota
 GCA_900109885.1,Bdellovibrionota+Myxococcota
 GCA_000167355.1,Bdellovibrionota+Myxococcota
 GCA_001642325.1,Bdellovibrionota+Myxococcota
 GCA_008830225.1,Bdellovibrionota+Myxococcota
 GCA_008124615.1,Bdellovibrionota+Myxococcota
 GCA_900104045.1,Bdellovibrionota+Myxococcota
 GCA_009688965.1,Bdellovibrionota+Myxococcota
 GCA_000012885.1,Bdellovibrionota+Myxococcota
 GCA_000341395.1,Bdellovibrionota+Myxococcota
 GCA_000422545.1,Bdellovibrionota+Myxococcota
 GCA_004801255.1,Bdellovibrionota+Myxococcota
 GCA_000179555.1,Bdellovibrionota+Myxococcota
 GCA_000023445.1,Bdellovibrionota+Myxococcota
 GCA_000420485.1,Bdellovibrionota+Myxococcota
 GCA_001854245.1,Bdellovibrionota+Myxococcota
 GCA_000023225.1,Bdellovibrionota+Myxococcota
 GCA_900116045.1,Bdellovibrionota+Myxococcota
 GCA_001553625.1,Bdellovibrionota+Myxococcota
 GCA_000745975.1,Bdellovibrionota+Myxococcota
 GCA_000519265.1,Bdellovibrionota+Myxococcota
 GCA_004135975.1,Bdellovibrionota+Myxococcota
 GCA_011048585.1,Bdellovibrionota+Myxococcota
 GCA_900699765.1,Bdellovibrionota+Myxococcota
 GCA_900143695.1,Bdellovibrionota+Myxococcota
 GCA_000429945.1,Bdellovibrionota+Myxococcota
 GCA_013389365.1,Bdellovibrionota+Myxococcota
 GCA_000373985.1,Bdellovibrionota+Myxococcota
 GCA_000020365.1,Bdellovibrionota+Myxococcota
 GCA_900176365.1,Bdellovibrionota+Myxococcota
 GCA_000429305.1,Bdellovibrionota+Myxococcota
 GCA_013761005.1,Bdellovibrionota+Myxococcota
 GCA_001293685.1,Bdellovibrionota+Myxococcota
 GCA_000519125.1,Bdellovibrionota+Myxococcota
 GCA_000217795.1,Bdellovibrionota+Myxococcota
 GCA_000504305.1,Bdellovibrionota+Myxococcota
 GCA_001687335.1,Bdellovibrionota+Myxococcota
 GCA_011321895.1,Bdellovibrionota+Myxococcota
 GCA_900176285.1,Bdellovibrionota+Myxococcota
 GCA_011927665.1,Bdellovibrionota+Myxococcota
 GCA_000620765.1,Bdellovibrionota+Myxococcota
 GCA_001563225.1,Bdellovibrionota+Myxococcota
 GCA_003851005.1,Bdellovibrionota+Myxococcota
 GCA_000024325.1,Bdellovibrionota+Myxococcota
 GCA_000711735.1,Bdellovibrionota+Myxococcota
 GCA_009688945.1,Bdellovibrionota+Myxococcota
 GCA_000429985.1,Bdellovibrionota+Myxococcota
 GCA_900167125.1,Bdellovibrionota+Myxococcota
 GCA_000702665.1,Bdellovibrionota+Myxococcota
 GCA_000422565.1,Bdellovibrionota+Myxococcota
 GCA_900188225.1,Bdellovibrionota+Myxococcota
 GCA_900167065.1,Bdellovibrionota+Myxococcota
